text,label
"Congratulations! You've won a free gift card!",1
"Hi, can you send me the report by tomorrow?",0
"Limited time offer: Buy now and get 50% off!",1
"Can we schedule a meeting for next week?",0
"Claim your prize now before it's too late!",1
"Please find the attached documents for review.",0
"Urgent: Update your account information today!",1
"Let me know your availability for the conference call.",0
"Exclusive deal: Save $100 on your next purchase!",1
"I hope you had a great weekend!",0
"Win big today! Click here to enter our sweepstakes.",1
"Thanks for your feedback on the project.",0
"Act fast! Limited stock available at this price.",1
"Are you available for a quick chat tomorrow?",0
"Your package has been shipped and is on its way.",0
"Don't miss out on this once-in-a-lifetime opportunity!",1
"We need to finalize the presentation by Thursday.",0
"Get a free trial of our premium service today!",1
"Can you review the document and provide feedback?",0
"Hot deal: Buy one, get one free for the next 24 hours!",1
"Thank you for your prompt response.",0
"Reminder: Your subscription expires soon. Renew now!",1
"Let’s discuss the project updates in our next meeting.",0
"Congratulations! You've been selected for a special reward!",1
"Please let me know if you have any questions.",0
"Last chance to claim your exclusive discount!",1
"I'll send over the draft for review later today.",0
"Big sale: Everything must go! Shop now!",1
"Looking forward to working with you on this project.",0
"Earn rewards by completing our quick survey today!",1
