text,label
"Congratulations! You've won a free gift card!",1
"Hi, can you send me the report by tomorrow?",0
"Limited time offer: Buy now and get 50% off!",1
"Can we schedule a meeting for next week?",0
"You're pre-approved for a $10,000 loan!",1
"Please review the attached document.",0
"Claim your free vacation now!",1
"Let's grab lunch tomorrow.",0
"Exclusive offer: Double your investment instantly!",1
"Did you complete the project update?",0
"Free trial for premium membership!",1
"Meeting rescheduled to 3 PM.",0
"Act now to save big on your next purchase!",1
"Please call me when you're free.",0
"You've been selected for a prize draw!",1
"Send me the client feedback form.",0
"Hurry! Your account will be suspended unless verified.",1
"Can you join the conference call?",0
"Get rich quick with this simple trick!",1
"Looking forward to our meeting next week.",0
"Win a free iPhone! Click here!",1
"Could you share the presentation slides?",0
"Special discount for our loyal customers!",1
"Let's discuss this over a call.",0
"Your account has been compromised. Act immediately!",1
"Thank you for your purchase.",0
"Exclusive deal: 70% off on all items!",1
"Please find the invoice attached.",0
"Congratulations! You're our lucky winner!",1
"Let me know if you're available for a quick chat.",0
"Urgent: Verify your account to avoid deactivation.",1
"Thanks for your feedback on the project.",0
"Limited time: Buy one, get one free!",1
"Can you confirm the meeting agenda?",0
"Unlock your potential with this one simple step!",1
"Please update the team on the latest changes.",0
"Don't miss out on this once-in-a-lifetime opportunity!",1
"Can you review the document by end of day?",0
"Earn money working from home!",1
"Do you have time for a quick call?",0
"Your package is waiting for you. Claim it now!",1
"Let's plan the project milestones.",0
"Congratulations! You've been selected for a free cruise.",1
"Thanks for submitting your application.",0
"Click here to claim your $100 reward!",1
"Can you share the latest project updates?",0
"Win big with our exclusive sweepstakes!",1
"Please let me know your availability.",0
"Important: Update your payment details now.",1
"Looking forward to the weekend.",0
"Don't miss out on this amazing deal!",1
"Let's finalize the design mockups.",0
"Claim your free $500 gift card today!",1
"Can you send me the report draft?",0
"Exclusive offer for first 100 customers!",1
"Please review the changes I made.",0
"Hurry! Offer ends at midnight.",1
"Thanks for attending the workshop.",0
"Get instant approval for your credit card!",1
"Can you review the code changes?",0
"Special offer: 30% off for today only!",1
"Looking forward to your response.",0
"Your subscription is about to expire. Renew now!",1
"Thanks for your support.",0
"Act fast to secure your bonus!",1
"Please share your feedback on the design.",0
"You're eligible for a personal loan. Apply now!",1
"Can you help with the budget calculation?",0
"Unlock premium features for free!",1
"Let me know if you need anything else.",0
"Congratulations! You're a grand prize winner.",1
"Looking forward to collaborating with you.",0
"Claim your exclusive discount now!",1
"Can you confirm the payment details?",0
"Don't miss this limited-time promotion!",1
"Let me know if this works for you.",0
"Win a free laptop! Click here to enter.",1
"Please schedule a follow-up meeting.",0
"Exclusive deal: Save 50% on your next purchase!",1
"Could you assist with the document review?",0
"Free trial: Sign up today!",1
"Please send the finalized proposal.",0
"Win big with our holiday giveaway!",1
"Looking forward to hearing from you.",0
"Important: Secure your account now.",1
"Can you provide an update on the status?",0
"Act now to claim your free gift!",1
"Thanks for the detailed notes.",0
"Special promotion: Buy two, get one free!",1
"Can we touch base tomorrow?",0
"Claim your free $100 voucher!",1
"Thanks for your quick response.",0
"Hurry! Last chance to avail this offer.",1
"Please share the document with the team.",0
"Congratulations! You're one step away from winning.",1
"Let me know your thoughts on this.",0
